"id","judul","penulis","gambar","isi","link","created_at","updated_at"
"31","Santé. Pourquoi les vaccins contre la variole et le BCG laissent-ils des cicatrices ? - Le Progrès","Admin",NULL,"Santé. Pourquoi les vaccins contre la variole et le BCG laissent-ils des cicatrices ?&nbsp;&nbsp;Le Progrès","https://news.google.com/rss/articles/CBMivwFBVV95cUxQcHpOMHhlVWdNWTk2RlM2UDB4eU1BY25OblR6T0k5RnM2NnhNNW4tVk1YeHNaVXdCQVg0ZWNTZlRQWWZFLXBkaEdMcUpKb0dmcll6ZHQtN0xBYjI2TjhKS3JKLWVrRkQ3NmlHWG5id0hqQmJ1emVEUzJNcjdwbXlaM25fQ21mYmRBQ0UtVFVCMkV1ZzRXem5hVEFMQUVaTldjWmQzU25Dd1M0M3RYdlREN3NycWRDSVYxWGltaTZfZw?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"32","Santé. Cancer de la peau : la localisation des mélanomes diffère selon le sexe - Le Dauphiné Libéré","Admin",NULL,"Santé. Cancer de la peau : la localisation des mélanomes diffère selon le sexe&nbsp;&nbsp;Le Dauphiné Libéré","https://news.google.com/rss/articles/CBMivwFBVV95cUxQc00wSkZNSTl3RE9pQ1Y0em5zdVBWd1FiMWVPTjktTEl5N3p1bmZuc1BMSzJxZnM5LUJmTmlLYklCaERZVEpCM2lldzNTV2l2cVB1cGZ5aXZzSDhSZEVRcTJWSzdiQVZaQlZ1ZXloUTlPeEgtY1RxNWlObjFhdEVMYjY2dkcyTHI2d3BTWWhHMzlqVy1vZExwb2l4MlU4VENoQVR5Q3hJVWllSnFad3hKb3RDRGJRT3BsYUlRRi01UQ?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"33","Région d’Obernai et de Molsheim. Moustique tigre : l’action encore timide des communes - DNA","Admin",NULL,"Région d’Obernai et de Molsheim. Moustique tigre : l’action encore timide des communes&nbsp;&nbsp;DNAAstuce : voici ce qu’il faut faire pour éviter les piqures de moustique&nbsp;&nbsp;RSE MagazineBracelets aux huiles essentielles, répulsif... quel est l'anti-moustique le plus efficace ? Envoyé spécial répond&nbsp;&nbsp;Santé MagazineMoustiques : la France en surveillance renforcée !&nbsp;&nbsp;MedisiteSaison 2025 du moustique tigre&nbsp;&nbsp;health.belgium.be","https://news.google.com/rss/articles/CBMimwFBVV95cUxOMnJzZGM2WE5RQm1TYU0yd1RhWjM0MVdxTzJPZGtwbS1wZGYzUDNyN3paUlZqdTItMGo2dlB6NWJSalVhTmg3d1JCM2daQUR2NFhfSkhYX3V4R2R3U0ViT05sWlhMekVvQTNPamdUbEluYjlkaHBtZERHVWp3MnZ4MzRvZHZleG41aEVXNGdwcFhLSllOS2VVYXlTVQ?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"34","Common blood pressure drug slows aging and boosts lifespan, even in older animals - Earth.com","Admin",NULL,"Common blood pressure drug slows aging and boosts lifespan, even in older animals&nbsp;&nbsp;Earth.com","https://news.google.com/rss/articles/CBMisgFBVV95cUxQR1FveUFHRGozV2FrcTBKNURmRDRwdmlMMWpBaU1Ockw3VnNRWlBTS28xSnhlRkZVQTN3ZFUzZWNVOXFYT2QwTm1zOElqWndNNHN2RDI1NGlhYTZEVEowRXRuT3BkSkZkRXhJeFNsZi1FWFgxcjBIMVFrLU9jMFE0UkJDRk44WnBZQ0FhdG9UUEQ3R05IMHVNd1hkNTZiUXE1VnVURGpRNUt4Tm9PX3RoVUV3?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"35","Lúcia Helena: Quando pernas muito finas são sinal de uma doença capaz até de matar - UOL","Admin",NULL,"Lúcia Helena: Quando pernas muito finas são sinal de uma doença capaz até de matar&nbsp;&nbsp;UOL","https://news.google.com/rss/articles/CBMi0AFBVV95cUxPcWlkNUNHbzhVUUFfMGtyNlFNVHp1TVBVRkcxUVNPSEJwVW12UkhYWmpLZHh6YWxlT3Z1YlNRWHVzYmswZHJycHQ1UlhCQWRYVGptcnNkMHNIenkyNTBGUWV6d0VsZnpSUWVXM0dPWldVX1p6bDJNWUNfbDI1RWtLVDNEa0FmanNMQjlQT05zWnl0bUZwRmQ3eUpob2ViVjVBbW5Cc0JNc3Z6MDgtdWktSmJNT1ctYzBoV2xQV09oQWdWUE9iZGx6TXBJYmEweEFz?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"36","'Never seen this many': Mid Island's largest bat colony grows to more than 2,000 - Ladysmith Chemainus Chronicle","Admin",NULL,"'Never seen this many': Mid Island's largest bat colony grows to more than 2,000&nbsp;&nbsp;Ladysmith Chemainus Chronicle","https://news.google.com/rss/articles/CBMiyAFBVV95cUxOVjNVWDhLdGZXc2p5V2swMVV5d25LUEVMNmJIRDR3dXJBa0pWRF9vSnNjTXRjaFQ2N2dQdm9UdS10aWJDUjVNSXMwckJaeGdEcEUyNkRQU2dteXprYXBOUjhoUHFlNG83RF82MEpHLXptOVZmTU5mMTgyODJjMFJLc1pxMTI4MmFScVNYOWUyenp5elVrSEptaFdNZmxlU0RRdzZtNmFyQ3E1bmRuMzBwX2haTEVtQ3ZyNTB5V2R4UkxYTG9FOXgxaA?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"37","Flash Flooding in San Antonio Kills 4 People","Nazaneen Ghaffar and Talya Minsberg","https://static01.nyt.com/images/2025/06/12/weather/2025-06-12-texasrains-index-promo/2025-06-12-texasrains-index-promo-mediumSquareAt3X-v2.png","More than six inches of rain fell in the San Antonio region overnight, surpassing the city’s average rainfall for June and July combined.","https://www.nytimes.com/2025/06/12/weather/san-antonio-flash-flood.html","2025-06-14 09:55:57","2025-06-14 09:55:57"
"38","The unexpected mental health consequences of veganism, according to medical research - VegOut","Admin",NULL,"The unexpected mental health consequences of veganism, according to medical research&nbsp;&nbsp;VegOut","https://news.google.com/rss/articles/CBMiswFBVV95cUxPTGREcHNpT3VYaVJOTjJkWm42Y25VZEVrc2JWVEtCTVNXYktYaVVIQmt3QjNUMUhFeDV1Y1paZ1ZOWE5MUmwwanl6clZJWkdleWptd21xY1ZVUGlSX2dKZXVLRk1KZW1NQnBtVldWLWVXQXlKY3J1ckdLTWtmX2RnQVhCdC1tTGw5VVNrMy1fZWJJZ1R0MmFFOW9KZDNhZTFrRXFBOE16NUZxUUdsT0QyTWwwTQ?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"39","Un label pour les communes engagées contre le cancer - La Gazette des Communes","Admin",NULL,"Un label pour les communes engagées contre le cancer&nbsp;&nbsp;La Gazette des Communes","https://news.google.com/rss/articles/CBMingFBVV95cUxPamw3OTlzVDdlc0p4b1A0a1k2RzN0b0pLRTBLS0xTYlowazVOQnJRLWEzYzUxaUxpTTdyWk1LTlhnZnE4S3dRVHIxVWtra3R1TnlhWnlERWJHSmJEc0wxNXJtQXZFSnBSZTZ0S2FTR29yUDB3N3ROUDAxRWUwN1hNRzFXSWV5RzZNRXdRdjFMWjA1YjhCSTQ5NmlYazNWZw?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"40","Chatbots can help clinicians become better communicators, and this could boost vaccine uptake - Gavi, the Vaccine Alliance","Admin",NULL,"Chatbots can help clinicians become better communicators, and this could boost vaccine uptake&nbsp;&nbsp;Gavi, the Vaccine Alliance","https://news.google.com/rss/articles/CBMitAFBVV95cUxNWXYyM0JGQWNibHhkc1ExVi1ZUFRWWDQ0cE1sczBWSUJVQXVVdVc2TVFYRFl4NHM3ejNoYzRfdzBuWUZUZFBIeWpaNlJRZW8xQ3NEYWFKQk9rM0ZER1hzV1p0Q1RaUG0yZ29nWHE4bTZEbDZuMTFuTHZIdm1oZnhqU2Jpc1lLakhhWjQ5Vy1PV21SWDNvRlUzNnc2cEtYcEhIZVlQV1lXNW4ySEhkd3oxaTk5ems?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"41","Aussie blokes urged to act F.A.S.T. by learning the signs of stroke - Melton & Moorabool | Star Weekly","Admin",NULL,"Aussie blokes urged to act F.A.S.T. by learning the signs of stroke&nbsp;&nbsp;Melton & Moorabool | Star Weekly6 Things to Do Before 9 A.M. to Reduce Your Stroke Risk, According to Experts&nbsp;&nbsp;EatingWell","https://news.google.com/rss/articles/CBMitAFBVV95cUxOT216UmttUDBSUFgzN3NvVGFfQlVSWS1URVhMbGk2eFh0elFjbGtFdmNSWU9kOWdsT2k1dEh5cDR5cGVIYm5iNE1lMEhUeEc2ZmhKVHc0bGlmTFNyeHRfVkhyTUloS0ttWlNmV0NLM1luUWVYRTRpbHppbmlVZ0E0V0JLMUNaeDF3TmtGYW1hamtEZ1FacnV3MnFjV3djMU1aam9vWjRPdkZxSUxQRXJxY3RiYUI?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"42","The Real-Life Dating Boot Camp That Inspired ‘Love on the Spectrum’","Ellen Barry","https://static01.nyt.com/images/2025/06/12/multimedia/12AUTISM-DATING-02-jzpm/12AUTISM-DATING-02-jzpm-mediumSquareAt3X.jpg","When U.C.L.A. psychologists first proposed teaching adults with autism how to date, funders wouldn’t go near it. Now we are in a new world.","https://www.nytimes.com/2025/06/12/health/autism-dating-ucla-love-on-the-spectrum.html","2025-06-14 09:55:57","2025-06-14 09:55:57"
"43","La Fleur de l’Espoir : une belle et grande aventure humaine au départ d’Étampes pour sensibiliser à la maladie d’Alzheimer - mairie-etampes.fr","Admin",NULL,"La Fleur de l’Espoir : une belle et grande aventure humaine au départ d’Étampes pour sensibiliser à la maladie d’Alzheimer&nbsp;&nbsp;mairie-etampes.fr","https://news.google.com/rss/articles/CBMi4gFBVV95cUxQT1hEVWJsdXRwY0NaQlROUGZnUHA5U0JsM0pyLVNpeUJWQWhqOGtaZ2Z1bkxuaVloQVRUU3ZsaDlrVS16dGROakItQlMzRUgyMXo2WGxNRzFaMGsyMWlCOUdiRmp0RUQxT3N2TklpeEt0eXNPTkJTME5PQVhiTVdpUkZETGNNUzJCUmhWSWhRM0RfZzI0RjEweGdjNEhWNGtpX0FtdnlmbGFyaVR0S016VVlzQ2tVaWozTG5aOUJ6czF0c1ljSHlIQnNkNjl1X2VJdDQtQnpYNUV1SUNHbjdOS3FR?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"44","Column | Doctors said I was ‘too young’ to be seriously ill. I had Stage 4 cancer. - The Washington Post","Admin",NULL,"Column | Doctors said I was ‘too young’ to be seriously ill. I had Stage 4 cancer.&nbsp;&nbsp;The Washington Post","https://news.google.com/rss/articles/CBMilAFBVV95cUxPZEFhdTVSUzZxdlVZMUVpVnRCMVplc2hoZ3A4MU1vSk5sTTkycFRjRlNfSjBfOWE1dm1jYzAtUzhxT2Q0ZDUxLW9JazNwRWI5a1J4dFNqSXZCUzB0LXVJMGJOQmZkSzExaWF0cjE0QnViUkU4RmtXSUQ4a1VwS1pKb2xJX0lmN2NRSFhTcFVIY2lXb29P?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"45","Hospital backlog drops to lowest level in two years","Admin","https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/3267/live/9ec78990-4778-11f0-915e-3595f829bdc8.jpg","But the NHS in England is still well below its target for seeing patients within 18 weeks.","https://www.bbc.com/news/articles/c9dqzv316pvo","2025-06-14 09:55:57","2025-06-14 09:55:57"
"46","Une formation gratuite en ligne pour agir sur sa santé mentale et mieux la comprendre - Faire Face - Mieux vivre le handicap","Admin",NULL,"Une formation gratuite en ligne pour agir sur sa santé mentale et mieux la comprendre&nbsp;&nbsp;Faire Face - Mieux vivre le handicap","https://news.google.com/rss/articles/CBMiigFBVV95cUxOYUVhVkRnOEM3OUIxREdQU2h0MW12N0lRc1RZRHhqdm1nWTAyLV9rMFNzQWdNMjhDTTZ0X0REcGRIZVhNcWZndDR4bFk4b3ZycjJ1YnJPbW5QbnN1NlpZY25qZWEtT3htV3BSMzBwUHZEc1FoX3Z3R3ZNaHpiQjFZdk1XTG1FQzgxT1E?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"47","Want to Start Weight Lifting? These Books Can Help.","Danielle Friedman",NULL,"Three new titles explore the power of women building muscle.","https://www.nytimes.com/2025/06/12/well/move/strength-training-books.html","2025-06-14 09:55:57","2025-06-14 09:55:57"
"48","In Some Ozempic Households, the Weight Loss is Contagious","Jackie Snow","https://static01.nyt.com/images/2025/06/11/multimedia/11WELL-OZEMPIC-RIPPLE-EFFECTS2-zjvh/11WELL-OZEMPIC-RIPPLE-EFFECTS2-zjvh-mediumSquareAt3X.jpg","Patients taking the drugs are finding their families are benefiting, too.","https://www.nytimes.com/2025/06/12/well/ozempic-weight-loss-family.html","2025-06-14 09:55:57","2025-06-14 09:55:57"
"49","Stark ansteckend: Nimbus-Variante aus Asien – Ärzte in NRW erwarten neue Corona-Welle","Antje Höning","https://rp-online.de/imgs/32/2/3/3/2/2/4/2/8/3/tok_d162b8374d638da184014000b0abd84e/w950_h950_x1024_y682_DPA_dpa_urn_newsml_dpa.com_20090101_250527-911-010396-v2-s2048-5dcb0b2900e33655.jpeg","In NRW sind die Hausarztpraxen voll. Erkältungswellen und eine mögliche Corona-Rückkehr erhöhen den Druck. Mediziner rechnen damit, dass eine neue Virusvariante aus Asien sich auch hier verbreitet. Auch Atemwegsinfektionen und Halsschmerzen gehen um.","https://rp-online.de/nrw/panorama/corona-variante-nimbus-stark-ansteckend-aerzte-in-nrw-erwarten-infektionswellen_aid-128540067","2025-06-14 09:55:57","2025-06-14 09:55:57"
"50","Santé. Défenses immunitaires : pourquoi sont-elles affaiblies par le stress ? - Le Republicain Lorrain","Admin",NULL,"Santé. Défenses immunitaires : pourquoi sont-elles affaiblies par le stress ?&nbsp;&nbsp;Le Republicain Lorrain","https://news.google.com/rss/articles/CBMixgFBVV95cUxOUkYwaW5hODQtU203VEZqdXhOWjV2MEdlRHdIZHB4ckxEWUJDeXQ0aHNfbXBmeGNBMFpEYTlPeDlZaFhvQ1B3MEZuU1ZqeGhBNTA5MzJTMjQ3a1YwRWVXUVFpc3U4cENKd19xWWtGbThBclZyQkhOWFdSWDR0UmFfRGRVT2RkcXktR0NlcFdkNkY5SEJvaVFTOUVmcUR3eW4xT2xNZnpaQ0dKRXRCb05MX0hONFZ1Qm5fSDRmS21BekxkUGVRNUE?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"51","Gentherapie gegen Alzheimer schont das Hirn - Pressetext","Admin",NULL,"Gentherapie gegen Alzheimer schont das Hirn&nbsp;&nbsp;Pressetext","https://news.google.com/rss/articles/CBMihwFBVV95cUxOYWJ1SllXTTZ1Rlo2S0YzQkc5SEkycnBOeGdCU1ZhQzE3TUsxZ00zdjlTdG9nMW13VEhwMlE0SlZ5VlY3Q0JhclFlNVdHRV82RUM3YVg1Ui02cS1Oa3ZOSEVlOERtZnRGOGtsRWdBWjl0TmY4QXV5NFVnWGdnQ2lpck9CblBIdkU?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"52","What you need to know about Nimbus, the new COVID-19 variant - Asia News Network","Admin",NULL,"What you need to know about Nimbus, the new COVID-19 variant&nbsp;&nbsp;Asia News Network""Razor blade throat"": The ""Nimbus"" COVID variant sparks concern of summer surge&nbsp;&nbsp;Salon.comWHO Monitors New Covid Variant Spreading in America and Europe&nbsp;&nbsp;WIREDNew COVID variant linked to painful ‘razor blade throat’ symptom&nbsp;&nbsp;San Francisco ChronicleWhat to know about the new ‘Nimbus’ COVID variant&nbsp;&nbsp;The Hill","https://news.google.com/rss/articles/CBMijgFBVV95cUxPUkVubDJBU0pFNjF3aVVpSGljc09va0ltczZRbVVuWmVUU2NHcEdMVXpBRlp6RU5GNURxanY4S1g4ZnNPcjh1VU1lQzFoSmhhVFEteUlSTnBXZmpGRXpWcE1NYk04cy1pM2E5OW90Sk41M2Z6VE5rOGxqQ21RUzFaeU1sa2JPQ2VPeVdkM2h3?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"53","What RFK Jr.’s ACIP Shakeup Could Mean for Vaccines","Dani Blum","https://static01.nyt.com/images/2025/06/11/multimedia/WELL-ACIP-EXPLAINER1-kvtg/WELL-ACIP-EXPLAINER1-kvtg-mediumSquareAt3X.jpg","Robert F. Kennedy Jr.’s overhaul of an influential committee, including the appointment of new members, has created concern about vaccine access.","https://www.nytimes.com/2025/06/11/well/vaccines-cdc-rfk-jr.html","2025-06-14 09:55:57","2025-06-14 09:55:57"
"54","Dr. Roach: Understanding how PSA tests and DREs help to identify cancer - The Detroit News","Admin",NULL,"Dr. Roach: Understanding how PSA tests and DREs help to identify cancer&nbsp;&nbsp;The Detroit NewsCanterbury man busts prostate cancer testing myths&nbsp;&nbsp;BBCDear Doctor: Do PSA tests produce false positives that lead to unnecessary procedures?&nbsp;&nbsp;OregonLive.comGPs urged to 'wait for evidence' as urologists back scrapping digital rectal exams&nbsp;&nbsp;GPonline'You don't need a finger exam to test for prostate cancer' - North East men told&nbsp;&nbsp;Yahoo","https://news.google.com/rss/articles/CBMi1gFBVV95cUxPYUFBUmoxSkxwM3JHcHN6RHFWU2xYeUg5ZElQUndUdUk0WUZ3R2NLT3hMV19sOUZYWWYxQm9MYnZHWUVPQVBLNmZldW9wT1RNNmpjZlpOMzVrd0VMcl9oeFZXSWFucVB4cVUxd0VZWnllX0x6SnIydmFWMS14WlI4ZGdOLWQ2MDRkb0c3TDJuT01mUndXajNZZEc5WEp0SGNCQ3hYLUhhYUZ6dGZzTzlHZW1kaVFUdUJQejFvYzc3bElydkZZUEFoODFNVFRQaGxEWjUzSm9n?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"55","Lúcia Helena: Menopausa: 9 coisas que precisamos entender sobre as ondas de calor - UOL","Admin",NULL,"Lúcia Helena: Menopausa: 9 coisas que precisamos entender sobre as ondas de calor&nbsp;&nbsp;UOLVer cobertura completa no Google Notícias","https://news.google.com/rss/articles/CBMizgFBVV95cUxPQVItRmdONlBQZ2J5dlVQXzZwZ3V3QTFDSGR1R0ZLdFcxLVowdEtydnlYc19oV3JjeUJ4NVEzelVkYTRubUNsYTFFV2NyRXp5cXI5SFh4bDFBcDN0Um0yR0RVNE5PZVU0V1huYWtjTlY5NkhNTnp4b2l3TEZMVnpadVVNd3dEUGR5TnFpOVdPQ3NCX3Q1YjNoV3hIcHEwNUtxT0I0bmRCdnZfY2VmR2wxLU1NZERlWDAyQWJ5TTR1bmxhQV9WNVYySC1yNjBoQQ?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"56","Champignons parasites : entretien avec Audrey Dussutour - Radio France","Admin",NULL,"Champignons parasites : entretien avec Audrey Dussutour&nbsp;&nbsp;Radio FranceAfficher la couverture complète sur Google Actualités","https://news.google.com/rss/articles/CBMi3wFBVV95cUxOdUQtLWo2aUxLX2NBTEhXNmwyc1Bacno5UWxZRDAteDl1d1M2Z3NyalZVZ1lGakVIa3Zuanp3aHlyc1c3RFRfLXd1OWFvWHNFUTBPMkJFMGlzRzJpT3VxNF8yQ29TX0pPLWM4Tjhrb0xyZ090OVVGa280VHpaNjVDVFFKaTQ2U1N1aUhUVTF3cjFubmRUMjV2ZjVTR2FxZVBxSnowUlRRUXczdmVIN2Qyc2dGaTRJZzJwa1dRUVhxSVgyWkQzeXZVTXR1Ry1NX0xPZ2JLZ09tWHFGUjhMZ1Rr?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"57","Santé. Mélanome et carcinome : les bons réflexes pour éviter un second cancer cutané - Le Progrès","Admin",NULL,"Santé. Mélanome et carcinome : les bons réflexes pour éviter un second cancer cutané&nbsp;&nbsp;Le ProgrèsCancer de la peau : les premiers signes à observer&nbsp;&nbsp;Radio-CanadaCancer de la peau : cinq mythes auxquels il faut cesser de croire&nbsp;&nbsp;MétéoMédiaÉducation aux médias cette semaine à Quimper : apprendre à ne pas être ""dupe""&nbsp;&nbsp;francebleu.frSensibilisation, journées de prévention : le programme de Juin jaune&nbsp;&nbsp;L'Est Républicain","https://news.google.com/rss/articles/CBMixAFBVV95cUxQWDlZaVpLU3pHVkI4a05GY3VtVVhBRzNqMDhDRUNPZTdiWXd6cklFOUxRRkJvcDh3RWtfY1VIRmp0RGZIanNDRFVlVm0xcS0zaDdsRzFCa015UHc4dU5seERoOG9WS2NxM3dwTm1rUDBNSzhsMHM3ZEhnai1ZWV9zTnBCeHY2Vmp6aUN0LVNHeXlTLVB1eFF6QWdBM1g0SHpGam41Ykk0MG9RamFLd2ZRWnI0cnRYVlhDdndvTjlEVjRMRi1r?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"58","Santé. L’eczéma : une maladie qui pèse sur la santé mentale - Le Dauphiné Libéré","Admin",NULL,"Santé. L’eczéma : une maladie qui pèse sur la santé mentale&nbsp;&nbsp;Le Dauphiné LibéréEczéma atopique chez l'enfant : l’importance de prévenir l’impact psychologique à l'âge adulte&nbsp;&nbsp;Yahoo Life FranceEczéma chronique des mains : une maladie qui impacte la qualité de vie&nbsp;&nbsp;Pourquoi DocteurQuand la peau souffre, l'esprit aussi : un événement pour réconcilier dermatologie et santé mentale&nbsp;&nbsp;Psychologies.com""Mon corps me brûle, mais c’est dans la tête qu’il fait le plus mal"" : comment vivre avec un eczéma sans sombrer&nbsp;&nbsp;Doctissimo...","https://news.google.com/rss/articles/CBMirAFBVV95cUxNU2h2VEJNNEJ1eTBOT3RkNVczU3JvUVFlWk15Yjd0TV9NTjFhXzd0cUtKdjZNblJLN3Y5VExqNFpJOUtVRmxjT043MFNSSFBrY0pHM1NGS2lDN2tsMGhFWkRnQURhMmw3OXlNSHFEU3MtR2FKLVdlU3l4TC10bDJBd3kzbndKbWRoeDZMNVhpWXhZYU5GMzM2RFlsNW1sMmQyOGtIc0dSYWFqMF9n?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"59","Un service de curiethérapie de renommée internationale - Portail Santé Montérégie","Admin",NULL,"Un service de curiethérapie de renommée internationale&nbsp;&nbsp;Portail Santé Montérégie","https://news.google.com/rss/articles/CBMiqAFBVV95cUxQNlF3ZktWYUY0emRiRWdZTGc2UWk3S3Y1enMtbUlRRjdIcWdwVzI4djBtM2RoTFEyN2Y4M3RnU3czYjBWbzRZVTlzMHpPN1paQ2ZRZnY2cWVyZ3pyRnJrMGlSVHp3SkFsX1NJczdpSUtsZXJzYlRqWUtpSWt2QlhOVUs4OXBXZms1c21SQ0N2RzQzSXRwUXp5ZUx5LUJKY2UwcXZZdi1rQnU?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"60","Ensemble, faisons avancer la recherche sur la maladie d’Alzheimer et les maladies apparentées - France Alzheimer","Admin",NULL,"Ensemble, faisons avancer la recherche sur la maladie d’Alzheimer et les maladies apparentées&nbsp;&nbsp;France Alzheimer","https://news.google.com/rss/articles/CBMiwgFBVV95cUxQQi1PQU1Zd2xLcC14eDFPTFp4cTVGN3lmeU1zNWY5eWNGZXdkRjBCaTFfMndPTXFhZUUwUGhZNU44Mk0xSERfR0dycVBYcmpRTUl2aXJhS0JNT2ZHZ2t0Yi1Wd090dDhIamhiX0J3Z0g0RnZYaExLY256OVNUVEI1a25sQzNtSVpxQWJieDJVR0M2MGg3RlhpMWNIcWtFcDU0WDFlVGhJSXJIWEQ1OExiMEtwRmozbkprQTNfR3lHbDMtUQ?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"61","PL 67 : le projet de règlement publié dans la Gazette pour consultation publique - Ordre des pharmaciens du Québec","Admin",NULL,"PL 67 : le projet de règlement publié dans la Gazette pour consultation publique&nbsp;&nbsp;Ordre des pharmaciens du Québec","https://news.google.com/rss/articles/CBMirgFBVV95cUxNb0NFd1dfX0lYektVbWhjTFhNWlAteFY3NnFlSDUyU05RczZUZ2VfdkRWWnN0cUhoTlV4VkdmV21YNDdNYVRVSTNzTXdTcXF1Rm1lZDZUbjRTeGlwSkd1M3hvV0dGeWUtVVppeGRqdDh2ei1oYkZ3OEVwMUZyS2h4N0FnMUxDSDhxbkgxNEZCZjNlWk5GUUxSa3MyLTRIZWJnTXZWOUdXREl1SHZTTUE?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
